name,state,weather
Phoenix,AZ,"[{'day': '5/30', 'low_temp': 74, 'high_temp': 104}, {'day': '5/31', 'low_temp': 75, 'high_temp': 105}, {'day': '6/1', 'low_temp': 74, 'high_temp': 106}, {'day': '6/2', 'low_temp': 75, 'high_temp': 103}, {'day': '6/3', 'low_temp': 74, 'high_temp': 105}, {'day': '6/4', 'low_temp': 78, 'high_temp': 104}, {'day': '6/5', 'low_temp': 82, 'high_temp': 107}, {'day': '6/6', 'low_temp': 82, 'high_temp': 106}, {'day': '6/7', 'low_temp': 83, 'high_temp': 108}, {'day': '6/8', 'low_temp': 81, 'high_temp': 106}]"
Caldera,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Caldera,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Cabecita 3 Marías,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 91}, {'day': '5/31', 'low_temp': 64, 'high_temp': 94}, {'day': '6/1', 'low_temp': 63, 'high_temp': 93}, {'day': '6/2', 'low_temp': 62, 'high_temp': 92}, {'day': '6/3', 'low_temp': 61, 'high_temp': 92}, {'day': '6/4', 'low_temp': 61, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 93}, {'day': '6/6', 'low_temp': 62, 'high_temp': 90}, {'day': '6/7', 'low_temp': 62, 'high_temp': 88}, {'day': '6/8', 'low_temp': 61, 'high_temp': 87}]"
Buenavista de Peñuelas,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 91}, {'day': '5/31', 'low_temp': 64, 'high_temp': 94}, {'day': '6/1', 'low_temp': 63, 'high_temp': 93}, {'day': '6/2', 'low_temp': 62, 'high_temp': 92}, {'day': '6/3', 'low_temp': 61, 'high_temp': 92}, {'day': '6/4', 'low_temp': 61, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 93}, {'day': '6/6', 'low_temp': 62, 'high_temp': 90}, {'day': '6/7', 'low_temp': 62, 'high_temp': 88}, {'day': '6/8', 'low_temp': 61, 'high_temp': 87}]"
Buenavista,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 94}, {'day': '5/31', 'low_temp': 65, 'high_temp': 94}, {'day': '6/1', 'low_temp': 64, 'high_temp': 94}, {'day': '6/2', 'low_temp': 62, 'high_temp': 93}, {'day': '6/3', 'low_temp': 62, 'high_temp': 91}, {'day': '6/4', 'low_temp': 63, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 91}, {'day': '6/7', 'low_temp': 60, 'high_temp': 89}, {'day': '6/8', 'low_temp': 59, 'high_temp': 87}]"
Brownsville,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 94}, {'day': '5/31', 'low_temp': 65, 'high_temp': 94}, {'day': '6/1', 'low_temp': 64, 'high_temp': 94}, {'day': '6/2', 'low_temp': 62, 'high_temp': 93}, {'day': '6/3', 'low_temp': 62, 'high_temp': 91}, {'day': '6/4', 'low_temp': 63, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 91}, {'day': '6/7', 'low_temp': 60, 'high_temp': 89}, {'day': '6/8', 'low_temp': 59, 'high_temp': 87}]"
Borrotes,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Boca del Túnel de Potrerillo,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Bimbaletes Atlas,Aguascalientes,"[{'day': '5/30', 'low_temp': 61, 'high_temp': 91}, {'day': '5/31', 'low_temp': 63, 'high_temp': 91}, {'day': '6/1', 'low_temp': 61, 'high_temp': 91}, {'day': '6/2', 'low_temp': 59, 'high_temp': 90}, {'day': '6/3', 'low_temp': 58, 'high_temp': 89}, {'day': '6/4', 'low_temp': 60, 'high_temp': 89}, {'day': '6/5', 'low_temp': 59, 'high_temp': 91}, {'day': '6/6', 'low_temp': 58, 'high_temp': 87}, {'day': '6/7', 'low_temp': 58, 'high_temp': 85}, {'day': '6/8', 'low_temp': 57, 'high_temp': 83}]"
