name,state,weather
Phoenix,AZ,"[{'day': '5/30', 'low_temp': 74, 'high_temp': 104}, {'day': '5/31', 'low_temp': 75, 'high_temp': 105}, {'day': '6/1', 'low_temp': 74, 'high_temp': 106}, {'day': '6/2', 'low_temp': 75, 'high_temp': 103}, {'day': '6/3', 'low_temp': 74, 'high_temp': 105}, {'day': '6/4', 'low_temp': 78, 'high_temp': 104}, {'day': '6/5', 'low_temp': 82, 'high_temp': 107}, {'day': '6/6', 'low_temp': 82, 'high_temp': 106}, {'day': '6/7', 'low_temp': 83, 'high_temp': 108}, {'day': '6/8', 'low_temp': 81, 'high_temp': 106}]"
Casa del Rey,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
Casa Blanca,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
Carrancita,Baja California,"[{'day': '5/30', 'low_temp': 68, 'high_temp': 103}, {'day': '5/31', 'low_temp': 67, 'high_temp': 104}, {'day': '6/1', 'low_temp': 68, 'high_temp': 104}, {'day': '6/2', 'low_temp': 68, 'high_temp': 104}, {'day': '6/3', 'low_temp': 70, 'high_temp': 102}, {'day': '6/4', 'low_temp': 69, 'high_temp': 100}, {'day': '6/5', 'low_temp': 68, 'high_temp': 103}, {'day': '6/6', 'low_temp': 70, 'high_temp': 103}, {'day': '6/7', 'low_temp': 69, 'high_temp': 103}, {'day': '6/8', 'low_temp': 70, 'high_temp': 101}]"
Cañada Verde,Baja California,"[{'day': '5/30', 'low_temp': 53, 'high_temp': 80}, {'day': '5/31', 'low_temp': 52, 'high_temp': 78}, {'day': '6/1', 'low_temp': 51, 'high_temp': 78}, {'day': '6/2', 'low_temp': 50, 'high_temp': 78}, {'day': '6/3', 'low_temp': 52, 'high_temp': 76}, {'day': '6/4', 'low_temp': 56, 'high_temp': 81}, {'day': '6/5', 'low_temp': 51, 'high_temp': 83}, {'day': '6/6', 'low_temp': 49, 'high_temp': 79}, {'day': '6/7', 'low_temp': 50, 'high_temp': 81}, {'day': '6/8', 'low_temp': 49, 'high_temp': 80}]"
Cañada Seca,Baja California,"[{'day': '5/30', 'low_temp': 51, 'high_temp': 84}, {'day': '5/31', 'low_temp': 52, 'high_temp': 82}, {'day': '6/1', 'low_temp': 53, 'high_temp': 81}, {'day': '6/2', 'low_temp': 50, 'high_temp': 78}, {'day': '6/3', 'low_temp': 52, 'high_temp': 79}, {'day': '6/4', 'low_temp': 57, 'high_temp': 85}, {'day': '6/5', 'low_temp': 45, 'high_temp': 88}, {'day': '6/6', 'low_temp': 48, 'high_temp': 83}, {'day': '6/7', 'low_temp': 49, 'high_temp': 84}, {'day': '6/8', 'low_temp': 48, 'high_temp': 83}]"
Campo Turístico la Misión,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 74}, {'day': '5/31', 'low_temp': 54, 'high_temp': 73}, {'day': '6/1', 'low_temp': 54, 'high_temp': 74}, {'day': '6/2', 'low_temp': 52, 'high_temp': 72}, {'day': '6/3', 'low_temp': 52, 'high_temp': 70}, {'day': '6/4', 'low_temp': 57, 'high_temp': 74}, {'day': '6/5', 'low_temp': 56, 'high_temp': 75}, {'day': '6/6', 'low_temp': 48, 'high_temp': 80}, {'day': '6/7', 'low_temp': 47, 'high_temp': 81}, {'day': '6/8', 'low_temp': 48, 'high_temp': 80}]"
Campo Torres,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
Campo Real,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
Campo Miramar,Baja California,"[{'day': '5/30', 'low_temp': 53, 'high_temp': 71}, {'day': '5/31', 'low_temp': 54, 'high_temp': 71}, {'day': '6/1', 'low_temp': 56, 'high_temp': 72}, {'day': '6/2', 'low_temp': 55, 'high_temp': 72}, {'day': '6/3', 'low_temp': 53, 'high_temp': 70}, {'day': '6/4', 'low_temp': 57, 'high_temp': 71}, {'day': '6/5', 'low_temp': 54, 'high_temp': 74}, {'day': '6/6', 'low_temp': 58, 'high_temp': 80}, {'day': '6/7', 'low_temp': 57, 'high_temp': 80}, {'day': '6/8', 'low_temp': 58, 'high_temp': 81}]"
Campo Martha,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
Campo López,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
