name,state,weather
Tepezalá,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 61, 'high_temp': 93}, {'day': '6/1', 'low_temp': 61, 'high_temp': 94}, {'day': '6/2', 'low_temp': 58, 'high_temp': 91}, {'day': '6/3', 'low_temp': 58, 'high_temp': 93}, {'day': '6/4', 'low_temp': 58, 'high_temp': 91}, {'day': '6/5', 'low_temp': 59, 'high_temp': 93}, {'day': '6/6', 'low_temp': 61, 'high_temp': 91}, {'day': '6/7', 'low_temp': 60, 'high_temp': 89}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Zacatecas,Zacatecas,"[{'day': '5/30', 'low_temp': 57, 'high_temp': 79}, {'day': '5/31', 'low_temp': 59, 'high_temp': 78}, {'day': '6/1', 'low_temp': 59, 'high_temp': 76}, {'day': '6/2', 'low_temp': 57, 'high_temp': 74}, {'day': '6/3', 'low_temp': 57, 'high_temp': 77}, {'day': '6/4', 'low_temp': 57, 'high_temp': 77}, {'day': '6/5', 'low_temp': 59, 'high_temp': 76}, {'day': '6/6', 'low_temp': 56, 'high_temp': 78}, {'day': '6/7', 'low_temp': 55, 'high_temp': 76}, {'day': '6/8', 'low_temp': 54, 'high_temp': 74}]"
Yaxcabá,Yucatán,"[{'day': '5/30', 'low_temp': 78, 'high_temp': 103}, {'day': '5/31', 'low_temp': 78, 'high_temp': 103}, {'day': '6/1', 'low_temp': 77, 'high_temp': 102}, {'day': '6/2', 'low_temp': 77, 'high_temp': 102}, {'day': '6/3', 'low_temp': 77, 'high_temp': 105}, {'day': '6/4', 'low_temp': 76, 'high_temp': 103}, {'day': '6/5', 'low_temp': 75, 'high_temp': 105}, {'day': '6/6', 'low_temp': 75, 'high_temp': 100}, {'day': '6/7', 'low_temp': 74, 'high_temp': 99}, {'day': '6/8', 'low_temp': 75, 'high_temp': 98}]"
Zongolica,Veracruz,"[{'day': '5/30', 'low_temp': 65, 'high_temp': 89}, {'day': '5/31', 'low_temp': 66, 'high_temp': 91}, {'day': '6/1', 'low_temp': 65, 'high_temp': 91}, {'day': '6/2', 'low_temp': 66, 'high_temp': 90}, {'day': '6/3', 'low_temp': 68, 'high_temp': 91}, {'day': '6/4', 'low_temp': 71, 'high_temp': 93}, {'day': '6/5', 'low_temp': 70, 'high_temp': 91}, {'day': '6/6', 'low_temp': 66, 'high_temp': 89}, {'day': '6/7', 'low_temp': 66, 'high_temp': 88}, {'day': '6/8', 'low_temp': 65, 'high_temp': 86}]"
Zitlaltépec,Tlaxcala,"[{'day': '5/30', 'low_temp': 53, 'high_temp': 81}, {'day': '5/31', 'low_temp': 53, 'high_temp': 86}, {'day': '6/1', 'low_temp': 50, 'high_temp': 87}, {'day': '6/2', 'low_temp': 54, 'high_temp': 86}, {'day': '6/3', 'low_temp': 56, 'high_temp': 86}, {'day': '6/4', 'low_temp': 56, 'high_temp': 87}, {'day': '6/5', 'low_temp': 55, 'high_temp': 84}, {'day': '6/6', 'low_temp': 57, 'high_temp': 79}, {'day': '6/7', 'low_temp': 56, 'high_temp': 78}, {'day': '6/8', 'low_temp': 57, 'high_temp': 74}]"
Xicoténcatl,Tamaulipas,"[{'day': '5/30', 'low_temp': 76, 'high_temp': 109}, {'day': '5/31', 'low_temp': 76, 'high_temp': 108}, {'day': '6/1', 'low_temp': 79, 'high_temp': 108}, {'day': '6/2', 'low_temp': 77, 'high_temp': 109}, {'day': '6/3', 'low_temp': 76, 'high_temp': 109}, {'day': '6/4', 'low_temp': 77, 'high_temp': 110}, {'day': '6/5', 'low_temp': 76, 'high_temp': 111}, {'day': '6/6', 'low_temp': 76, 'high_temp': 107}, {'day': '6/7', 'low_temp': 75, 'high_temp': 105}, {'day': '6/8', 'low_temp': 76, 'high_temp': 104}]"
Villahermosa,Tabasco,"[{'day': '5/30', 'low_temp': 80, 'high_temp': 104}, {'day': '5/31', 'low_temp': 80, 'high_temp': 104}, {'day': '6/1', 'low_temp': 80, 'high_temp': 103}, {'day': '6/2', 'low_temp': 79, 'high_temp': 104}, {'day': '6/3', 'low_temp': 79, 'high_temp': 105}, {'day': '6/4', 'low_temp': 78, 'high_temp': 106}, {'day': '6/5', 'low_temp': 79, 'high_temp': 105}, {'day': '6/6', 'low_temp': 76, 'high_temp': 99}, {'day': '6/7', 'low_temp': 74, 'high_temp': 98}, {'day': '6/8', 'low_temp': 75, 'high_temp': 95}]"
Yécora,Sonora,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 76}, {'day': '5/31', 'low_temp': 56, 'high_temp': 76}, {'day': '6/1', 'low_temp': 55, 'high_temp': 77}, {'day': '6/2', 'low_temp': 56, 'high_temp': 76}, {'day': '6/3', 'low_temp': 58, 'high_temp': 76}, {'day': '6/4', 'low_temp': 57, 'high_temp': 76}, {'day': '6/5', 'low_temp': 58, 'high_temp': 77}, {'day': '6/6', 'low_temp': 54, 'high_temp': 83}, {'day': '6/7', 'low_temp': 54, 'high_temp': 83}, {'day': '6/8', 'low_temp': 53, 'high_temp': 84}]"
Villa Unión,Sinaloa,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 95}, {'day': '5/31', 'low_temp': 68, 'high_temp': 94}, {'day': '6/1', 'low_temp': 70, 'high_temp': 94}, {'day': '6/2', 'low_temp': 69, 'high_temp': 93}, {'day': '6/3', 'low_temp': 69, 'high_temp': 93}, {'day': '6/4', 'low_temp': 68, 'high_temp': 93}, {'day': '6/5', 'low_temp': 70, 'high_temp': 92}, {'day': '6/6', 'low_temp': 74, 'high_temp': 91}, {'day': '6/7', 'low_temp': 73, 'high_temp': 91}, {'day': '6/8', 'low_temp': 74, 'high_temp': 92}]"
Zaragoza,San Luis Potosí,"[{'day': '5/30', 'low_temp': 55, 'high_temp': 89}, {'day': '5/31', 'low_temp': 58, 'high_temp': 91}, {'day': '6/1', 'low_temp': 57, 'high_temp': 90}, {'day': '6/2', 'low_temp': 56, 'high_temp': 91}, {'day': '6/3', 'low_temp': 58, 'high_temp': 89}, {'day': '6/4', 'low_temp': 57, 'high_temp': 89}, {'day': '6/5', 'low_temp': 56, 'high_temp': 90}, {'day': '6/6', 'low_temp': 56, 'high_temp': 84}, {'day': '6/7', 'low_temp': 57, 'high_temp': 83}, {'day': '6/8', 'low_temp': 56, 'high_temp': 81}]"
